Week_Start,Bull_Bear,High_Day,Low_Day
2011-01-04,Bearish,Monday,Monday
2011-01-11,Bullish,Monday,Tuesday
2011-01-18,Bearish,Tuesday,Thursday
2011-01-25,Bearish,Friday,Friday
2011-02-01,Bullish,Monday,Tuesday
2011-02-08,Bullish,Monday,Thursday
2011-02-15,Bullish,Friday,Tuesday
2011-02-22,Bearish,Tuesday,Thursday
2011-03-01,Bearish,Thursday,Wednesday
2011-03-08,Bearish,Tuesday,Monday
2011-03-15,Bullish,Monday,Wednesday
2011-03-22,Bullish,Monday,Wednesday
2011-03-29,Bullish,Friday,Tuesday
2011-04-05,Bearish,Friday,Monday
2011-04-12,Bearish,Tuesday,Monday
2011-04-19,Bullish,Monday,Tuesday
2011-04-26,Bullish,Monday,Tuesday
2011-05-03,Bearish,Tuesday,Thursday
2011-05-10,Bearish,Tuesday,Monday
2011-05-17,Bearish,Thursday,Monday
2011-05-24,Bullish,Friday,Wednesday
2011-05-31,Bearish,Wednesday,Monday
2011-06-07,Bearish,Tuesday,Monday
2011-06-14,Bullish,Tuesday,Thursday
2011-06-21,Bearish,Tuesday,Thursday
2011-06-28,Bullish,Friday,Tuesday
2011-07-05,Bearish,Thursday,Monday
2011-07-12,Bearish,Wednesday,Monday
2011-07-19,Bullish,Thursday,Tuesday
2011-07-26,Bearish,Tuesday,Monday
2011-08-02,Bearish,Tuesday,Monday
2011-08-09,Bullish,Monday,Tuesday
2011-08-16,Bearish,Wednesday,Monday
2011-08-23,Bullish,Monday,Tuesday
2011-08-30,Bearish,Thursday,Friday
2011-09-06,Bearish,Thursday,Monday
2011-09-13,Bullish,Friday,Tuesday
2011-09-20,Bearish,Tuesday,Thursday
2011-09-27,Bearish,Tuesday,Monday
2011-10-04,Bullish,Monday,Tuesday
2011-10-11,Bullish,Friday,Tuesday
2011-10-18,Bullish,Monday,Tuesday
2011-10-25,Bearish,Thursday,Wednesday
2011-11-01,Bullish,Thursday,Tuesday
2011-11-08,Bearish,Tuesday,Wednesday
2011-11-15,Bearish,Tuesday,Monday
2011-11-22,Bearish,Monday,Friday
2011-11-29,Bullish,Monday,Tuesday
2011-12-06,Bearish,Wednesday,Monday
2011-12-13,Bearish,Tuesday,Monday
2011-12-20,Bullish,Friday,Tuesday
2011-12-27,Bearish,Tuesday,Wednesday
2012-01-03,Bullish,Tuesday,Tuesday
2012-01-10,Bullish,Thursday,Friday
2012-01-17,Bullish,Monday,Tuesday
2012-01-24,Bearish,Thursday,Monday
2012-01-31,Bullish,Friday,Tuesday
2012-02-07,Bullish,Thursday,Tuesday
2012-02-14,Bullish,Friday,Wednesday
2012-02-21,Bullish,Monday,Thursday
2012-02-28,Bearish,Wednesday,Monday
2012-03-06,Bullish,Friday,Tuesday
2012-03-13,Bullish,Monday,Tuesday
2012-03-20,Bullish,Monday,Friday
2012-03-27,Bullish,Monday,Thursday
2012-04-03,Bearish,Tuesday,Monday
2012-04-10,Bearish,Thursday,Tuesday
2012-04-17,Bearish,Tuesday,Monday
2012-04-24,Bullish,Friday,Tuesday
2012-05-01,Bearish,Tuesday,Monday
2012-05-08,Bearish,Tuesday,Monday
2012-05-15,Bearish,Tuesday,Friday
2012-05-22,Bullish,Tuesday,Wednesday
2012-05-29,Bearish,Tuesday,Monday
2012-06-05,Bullish,Monday,Tuesday
2012-06-12,Bullish,Monday,Tuesday
2012-06-19,Bearish,Tuesday,Monday
2012-06-26,Bullish,Monday,Tuesday
2012-07-03,Bearish,Tuesday,Monday
2012-07-10,Bullish,Tuesday,Thursday
2012-07-17,Bearish,Thursday,Monday
2012-07-24,Bullish,Monday,Tuesday
2012-07-31,Bullish,Monday,Thursday
2012-08-07,Bullish,Tuesday,Tuesday
2012-08-14,Bullish,Friday,Tuesday
2012-08-21,Bearish,Tuesday,Friday
2012-08-28,Bearish,Wednesday,Thursday
2012-09-04,Bullish,Monday,Tuesday
2012-09-11,Bullish,Friday,Tuesday
2012-09-18,Bearish,Friday,Thursday
2012-09-25,Bearish,Tuesday,Wednesday
2012-10-02,Bullish,Friday,Tuesday
2012-10-09,Bearish,Tuesday,Friday
2012-10-16,Bearish,Thursday,Monday
2012-10-23,Bearish,Tuesday,Friday
2012-10-30,Bullish,Friday,Wednesday
2012-11-06,Bearish,Tuesday,Friday
2012-11-13,Bullish,Tuesday,Friday
2012-11-20,Bullish,Friday,Tuesday
2012-11-27,Bullish,Monday,Wednesday
2012-12-04,Bullish,Monday,Wednesday
2012-12-11,Bullish,Wednesday,Friday
2012-12-18,Bearish,Tuesday,Friday
2012-12-25,Bearish,Wednesday,Monday
2013-01-01,Bullish,Friday,Wednesday
2013-01-08,Bullish,Friday,Tuesday
2013-01-15,Bullish,Friday,Tuesday
2013-01-22,Bullish,Friday,Tuesday
2013-01-29,Bearish,Friday,Monday
2013-02-05,Bullish,Friday,Tuesday
2013-02-12,Bullish,Wednesday,Thursday
2013-02-19,Bearish,Wednesday,Monday
2013-02-26,Bullish,Thursday,Tuesday
2013-03-05,Bullish,Monday,Tuesday
2013-03-12,Bearish,Friday,Monday
2013-03-19,Bullish,Monday,Tuesday
2013-03-26,Bullish,Monday,Tuesday
2013-04-02,Bullish,Tuesday,Friday
2013-04-09,Bearish,Thursday,Monday
2013-04-16,Bullish,Tuesday,Thursday
2013-04-23,Bullish,Monday,Tuesday
2013-04-30,Bullish,Monday,Wednesday
2013-05-07,Bullish,Monday,Tuesday
2013-05-14,Bullish,Monday,Tuesday
2013-05-21,Bearish,Wednesday,Thursday
2013-05-28,Bearish,Tuesday,Monday
2013-06-04,Bullish,Monday,Thursday
2013-06-11,Bullish,Monday,Thursday
2013-06-18,Bearish,Tuesday,Monday
2013-06-25,Bullish,Monday,Tuesday
2013-07-02,Bullish,Monday,Wednesday
2013-07-09,Bullish,Monday,Tuesday
2013-07-16,Bullish,Monday,Tuesday
2013-07-23,Bearish,Tuesday,Friday
2013-07-30,Bullish,Friday,Tuesday
2013-08-06,Bearish,Tuesday,Monday
2013-08-13,Bearish,Tuesday,Monday
2013-08-20,Bullish,Monday,Wednesday
2013-08-27,Bearish,Tuesday,Wednesday
2013-09-03,Bullish,Monday,Tuesday
